Title,China Runtime,Converted,China Release Date,Budget,Genres,Original Language,Production Company,Global Release Date,Revenue,Global Runtime,Difference
Lethal Weapon 3,01:57:53,117,,35000000,Adventure ;Action ;Comedy ;Thriller ;Crime ;,en,Silver Pictures ;Warner Bros ;,05/15/92,321731527,118,-1
Far and Away,02:19:45,139,,60000000,Adventure ;Drama ;Romance ;Western ;,en,Imagine Entertainment ;Universal Pictures ;,05/22/92,137783840,140,-1
Sister Act,01:35:58,95,,31000000,Music ;Comedy ;,en,Touchstone Pictures ;,05/28/92,231605150,100,-5
Boomerang,01:48:40,108,,40000000,Comedy ;Romance ;,en,Paramount Pictures ;,06/30/92,70100000,117,-9
Cool World,01:37:29,97,,30000000,Animation ;Comedy ;Fantasy ;,en,Paramount Pictures ;Paramount Animation ;,07/10/92,14110589,102,-5
Universal Soldier,01:43:45,103,,23000000,Thriller ;Action ;Science ;Fiction ;Crime ;,en,Centropolis Entertainment ;TriStar Pictures ;StudioCanal ;IndieProd Company Productions ;Carolco Pictures ;,07/10/92,0,102,1
Death Becomes Her,01:43:21,103,,55000000,Fantasy ;Comedy ;,en,Universal Pictures ;,07/30/92,149022650,104,-1
Jersey Girl,01:42:12,102,,0,Comedy ;Drama ;Romance ;,en,Electric Pictures ;Interscope ;,07/31/92,0,95,7
Whispers in the Dark,01:29:48,89,9/21/93,0,Mystery ;Thriller ;,en,Paramount Pictures ;,08/06/92,0,103,-14
Unforgiven,02:01:14,121,,14000000,Western ;,en,Malpaso Productions ;Warner Bros ;,08/07/92,159157447,131,-10
Sneakers,02:05:19,125,,0,Comedy ;Crime ;Drama ;,en,Universal Pictures ;,09/09/92,105232691,126,-1
The Power of One,02:07:07,127,,0,Drama ;,en,Village Roadshow Pictures ;Regency Enterprises ;Alcor Films ;Canal ;Warner Bros ;,09/17/92,0,127,0
School Ties,01:42:53,102,,0,Drama ;,en,Paramount Pictures ;,09/18/92,14715067,106,-4
The Last of the Mohicans,01:54:33,114,,40000000,Action; Adventure ; Drama ; History ; Romance ;'War;,en,Morgan Creek Productions,09/25/92,75505856,112,2
Running Mates,01:30:22,90,,0,Comedy ;Romance ;,en,HBO Films ;,10/04/92,0,92,-2
Under Siege,01:40:04,100,,35000000,Action ;Thriller ;,en,Regency Enterprises ;Alcor Films ;Canal ;Warner Bros ;,10/08/92,156563139,103,-3
A River Runs Through It,02:03:36,123,,0,Drama ;,en,Columbia Pictures ;,10/09/92,43440294,123,0
Passenger 57,01:23:26,83,,15000000,Action ;Adventure ;Thriller ;,en,Warner Bros ;,11/05/92,44065653,84,-1
Jennifer Eight,01:59:41,119,,20000000,Crime ;Drama ;Mystery ;,en,Paramount Pictures ;,11/06/92,11390479,124,-5
Home Alone 2: Lost in New York,01:54:48,114,,18000000,Comedy ;Family ;Adventure ;Crime ;,en,Twentieth Century Fox Film Corporation ;Hughes Entertainment ;,11/19/92,358991681,120,-6
The Bodyguard,02:09:20,129,,25000000,Thriller ;Action ;Drama ;Music ;Romance ;,en,Tig Productions ;Warner Bros ;Kasdan Pictures ;,11/25/92,411006740,129,0
Aladdin,01:30:40,90,,28000000,Animation ;Family ;Comedy ;Adventure ;Fantasy ;Romance ;,en,Walt Disney Pictures ;,11/25/92,504050219,90,0
A Few Good Men,02:17:37,137,,40000000,Drama ;,en,David Brown Productions ;,12/11/92,243240178,138,-1
Scent of a Woman,02:36:33,156,,31000000,Drama ;,en,Universal Pictures ;City Light Films ;,12/23/92,134095253,157,-1
Lorenzo's Oil,02:15:06,135,,0,Drama ;,en,Universal Pictures ;,12/30/92,7286388,135,0
Alive,02:01:14,121,,32000000,Action ;Adventure ;Drama ;Thriller ;,en,Paramount Pictures ;Touchstone Pictures ;,01/15/93,36733909,120,1
Groundhog Day,01:36:47,96,,14600000,Romance ;Fantasy ;Drama ;Comedy ;,en,Columbia Pictures ;,02/11/93,70906973,101,-5
Falling Down,01:52:36,112,,25000000,Crime ;Drama ;Thriller ;,en,Regency Enterprises ;Alcor Films ;Canal ;Warner Bros ;,02/26/93,40903593,113,-1
Fire in the Sky,01:44:50,104,,19885552,Drama ;Horror ;Thriller ;Mystery ;,en,Paramount Pictures ;,03/12/93,19724334,109,-5
Point of No Return,01:48:20,108,,0,Crime ;Drama ;Thriller ;,en,Warner Bros ;Art Linson Productions ;,03/19/93,0,108,0
The Night We Never Met,01:38:31,98,,0,Romance ;Comedy ;Drama ;,en,Miramax Films ;Tribeca Productions ;,04/30/93,1884814,99,-1
Dragon: The Bruce Lee Story,01:59:48,119,,14000000,Drama ;,en,Universal Pictures ;Raffaella De Laurentiis Productions ;,05/07/93,63513743,120,-1
Dave,01:49:53,109,,0,Comedy ;,en,Donner ;Shuler ;Donner Productions ;Warner Bros ;Northern Lights Entertainment ;,05/07/93,63000000,110,-1
Made in America,01:50:25,110,,22000000,Comedy ;,en,Regency Enterprises ;Warner Bros ;,05/27/93,0,111,-1
Jurassic Park,02:06:36,126,,63000000,Adventure ;Science ;Fiction ;,en,Universal Pictures ;Amblin Entertainment ;,06/11/93,920100000,127,-1
Last Action Hero,02:10:53,130,,85000000,Adventure ;Fantasy ;Action ;Comedy ;Family ;,en,Columbia Pictures Corporation ;Oak Productions ;,06/18/93,137298489,130,0
Dennis the Menace,01:35:55,95,,35000000,Family ;Comedy ;,en,Hughes Entertainment ;Warner Bros ;Family Entertainment ;Warner Bros ;,06/23/93,117270765,94,1
Sleepless in Seattle,01:45:04,105,,21000000,Comedy ;Drama ;Romance ;,en,TriStar Pictures ;,06/24/93,227799884,105,0
The Firm,02:34:34,154,,42000000,Drama ;Mystery ;Thriller ;,en,Paramount Pictures ;Mirage Enterprises ;Davis Entertainment ;,06/30/93,270248367,154,0
In the Line of Fire,02:08:36,128,,40000000,Action ;Drama ;Thriller ;Crime ;Mystery ;,en,Castle Rock Entertainment ;Columbia Pictures Corporation ;,07/08/93,176997168,128,0
The Thing Called Love,01:49:47,109,,14000000,Music ;Drama ;Romance ;,en,Paramount Pictures ;,07/16/93,0,116,-7
Coneheads,01:23:15,83,,0,Comedy ;Science ;Fiction ;Family ;,en,Paramount Pictures ;,07/23/93,0,88,-5
The Fugitive,02:10:16,130,11/12/94,44000000,Adventure ; Action ; Thriller ; Crime ; Mystery,en,Warner Bros.,08/06/93,368875760,130,0
King of the Hill,01:43:07,103,,0,Drama ;,en,Gramercy Pictures ;,08/20/93,0,103,0
Hard Target,01:39:31,99,,18000000,Action ;Adventure ;Crime ;Thriller ;,en,Universal Pictures ;Renaissance Pictures ;Alphaville Films ;,08/20/93,74189677,97,2
The Real McCoy,01:29:00,89,,0,Action ;Crime ;Drama ;Thriller ;,en,Universal Pictures ;,09/10/93,0,100,-11
Bopha!,01:53:22,113,,12000000,Drama ;,en,,09/16/93,212483,120,-7
The Age of Innocence,02:18:25,138,,34000000,Drama ;Romance ;,en,Columbia Pictures,09/17/93,32255440,139,-1
Dazed and Confused,01:42:11,102,,6900000,Comedy ;Drama ;,en,Gramercy Pictures ;Alphaville Productions ;The Criterion Collection ;,09/24/93,7993039,102,0
Demolition Man,01:54:52,114,,57000000,Crime ;Action ;Science ;Fiction ;,en,Silver Pictures ;Warner Bros ;,10/08/93,159055768,115,-1
The Nightmare Before Christmas,01:13:28,73,,18000000,Fantasy ;Animation ;Family ;,en,Tim Burton Productions ;Skellington Productions Inc ;Touchstone Pictures ;,10/09/93,75634409,76,-3
Flesh and Bone,01:58:59,118,,0,Drama ;Mystery ;Romance ;,en,Paramount Pictures ;Spring Creek Productions ;Mirage ;,11/05/93,9488998,126,-8
A Perfect World,02:18:18,138,,30000000,Crime ;Drama ;Thriller ;,en,Malpaso Productions ;Warner Bros ;,11/24/93,135130999,138,0
Schindler's List,03:02:55,182,,22000000,Drama ;History ;War ;,en,Universal Pictures ;Amblin Entertainment ;,11/29/93,321365567,195,-13
Sister Act 2: Back in the Habit,01:42:33,102,,38000000,Music ;Comedy ;,en,Touchstone Pictures ;,12/09/93,57319029,107,-5
Attack of the 50 Ft. Woman,01:21:52,81,null,0,Science ;Fiction ;Comedy ;,en,Warner Bros ;Television ;Home Box Office  ;HBO ;Bartleby ;,12/11/93,0,85,-4
What's Eating Gilbert Grape,01:57:50,117,,11000000,Romance ;Drama ;,en,Paramount Pictures ;,12/17/93,10032765,118,-1
Philadelphia,02:04:23,124,,26000000,Drama ;,en,TriStar Pictures ;Clinica Estetico ;,12/22/93,206678440,125,-1
Grumpy Old Men,01:43:28,103,,0,Comedy ;Family ;Romance ;,en,Warner Bros ;Lancaster Gate ;John Davis ;,12/25/93,0,103,0
American Cyborg: Steel Warrior,01:25:15,85,,0,Action ;Adventure ;Science ;Fiction ;,en,Global Pictures ;,01/07/94,447784,94,-9
Ace Ventura: Pet Detective,01:26:00,86,,15000000,Comedy ;Mystery ;,en,Warner Bros ;Morgan Creek Productions ;,02/04/94,107217396,86,0
Blue Chips,01:43:27,103,,0,Drama ;,en,Paramount Pictures ;,02/18/94,0,108,-5
On Deadly Ground,01:41:40,101,,50000000,Action ;Thriller ;,en,Warner Bros ;,02/18/94,49000000,102,-1
Reality Bites,01:38:17,98,,11500000,Drama ;,en,Universal Pictures ;Jersey Films ;,02/18/94,20079850,99,-1
Guarding Tess,01:31:33,91,3/11/94,20000000,Comedy ;Drama ;Thriller ;,en,TriStar Pictures ;Channel Films ;,03/11/94,0,96,-5
Clifford,01:14:13,74,,19000000,Comedy ;Family ;,en,Orion Pictures ;,04/01/94,7411659,89,-15
Clean Slate,01:27:38,87,5/6/94,0,Comedy ;Thriller ;Mystery ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,05/06/94,7355425,107,-20
A Million to Juan,01:33:14,93,,0,Comedy ;,en,Trimark Pictures ;Crystal Sky Worldwide ;Prism Entertainment Corporation ;,05/15/94,1221832,97,-4
Maverick,02:06:35,126,,0,Action ;Adventure ;Comedy ;Drama ;Western ;,en,Icon Entertainment International ;Warner Bros ;,05/20/94,0,127,-1
The Flintstones,01:30:11,90,5/23/94,46000000,Fantasy ;Comedy ;Family ;,en,Universal Pictures ;Amblin Entertainment ;Hanna ;Barbera Productions ;,05/26/94,341631208,91,-1
Speed,01:51:05,111,,30000000,Action ;Adventure ;Crime ;,en,Twentieth Century Fox Film Corporation ;,06/09/94,350448145,116,-5
The Lion King,01:28:23,88,7/15/95,45000000,Family ;Animation ;Drama ;,en,Walt Disney Pictures ;Walt Disney Feature Animation ;,06/23/94,788241776,89,-1
Wyatt Earp,03:06:28,186,,63000000,Drama ;Action ;Western ;,en,Tig Productions ;Warner Bros ;Kasdan Pictures ;Paragon Entertainment Corp ;,06/24/94,25052000,191,-5
Forrest Gump,02:22:09,142,,55000000,Comedy ;Drama ;Romance ;,en,Paramount Pictures ;,07/06/94,677945399,142,0
True Lies,02:11:29,131,4/20/95,115000000,Action ;Thriller ;,en,Twentieth Century Fox Film Corporation ;Lightstorm Entertainment ;,07/14/94,378882411,141,-10
The Client,02:00:49,120,,45000000,Drama ;Thriller ;Crime ;Mystery ;,en,Regency Enterprises ;Alcor Films ;Warner Bros ;,07/20/94,117615211,119,1
It Could Happen to You,01:37:14,97,,0,Comedy ;Drama ;Romance ;,en,TriStar Pictures ;,07/29/94,0,101,-4
The Mask,01:41:12,101,,23000000,Romance ;Comedy ;Crime ;Fantasy ;,en,New Line Cinema ;Dark Horse Entertainment ;,07/29/94,351583407,101,0
Milk Money,01:44:12,104,,0,Comedy ;Romance ;,en,Paramount Pictures ;The Kennedy ;Marshall Company ;,08/31/94,18137661,108,-4
Pulp Fiction,02:34:24,154,,8000000,Thriller ;Crime ;,en,Miramax Films ;A Band Apart ;Jersey Films ;,09/10/94,213928762,154,0
Clerks,01:39:30,99,,27000,Comedy ;,en,Miramax Films ;View Askew Productions ;,09/13/94,3151130,92,7
The Shawshank Redemption,02:22:33,142,,25000000,Drama ;Crime ;,en,Castle Rock Entertainment ;Warner Bros ;,09/23/94,28341469,142,0
Ed Wood,02:06:31,126,,18000000,Comedy ;Drama ;History ;,en,Touchstone Pictures ;,09/27/94,5887457,127,-1
The River Wild,01:51:13,111,,45000000,Action ;Adventure ;Crime ;Thriller ;,en,Universal Pictures ;David Foster Productions ;Turman ;Foster Company ;,09/30/94,0,111,0
The Specialist,01:46:29,106,,45000000,Action ;Thriller ;,en,Jerry Weintraub Productions ;Warner Bros ;Iguana Producciones ;,10/07/94,170362582,110,-4
Imaginary Crimes,01:40:55,100,,0,Drama ;,en,Morgan Creek Productions ;,10/14/94,0,105,-5
Love Affair,01:47:59,107,,0,Drama ;Romance ;,en,Warner Bros.,10/21/94,0,108,-1
Pontiac Moon,01:42:19,102,,0,Drama ;,en,Paramount Pictures ;,11/03/94,0,113,-11
Star Trek: Generations,01:57:59,117,,38000000,Science ;Fiction ;Action ;Adventure ;Thriller ;,en,Paramount Pictures ;,11/17/94,120000000,118,-1
Junior,01:49:26,109,,60000000,Comedy ;Family ;Romance ;,en,Universal Pictures ;Northern Lights Entertainment ;,11/22/94,37000000,109,0
Drop Zone,01:37:21,97,,45000000,Action ;Adventure ;Thriller ;,en,Paramount Pictures ;,12/08/94,0,101,-4
Disclosure,02:02:20,122,,55000000,Drama ;Thriller ;Crime ;Mystery ;Romance ;,en,Warner Bros ;Baltimore Pictures ;,12/09/94,214015089,123,-1
Legends of the Fall,02:11:48,131,,30000000,Adventure ;Drama ;Romance ;War ;,en,Bedford Falls Productions ;TriStar Pictures ;Pangaea ;,12/16/94,160638883,133,-2
Living in Oblivion,01:25:49,85,,500000,Drama ;Comedy ;,en,JDI productions ;Lemon Sky Productions ;,01/20/95,1148752,89,-4
Before Sunrise,01:40:55,100,,2500000,Drama ;Romance ;,en,Detour Film Production ;Warner Bros ;,01/27/95,5535405,105,-5
The Quick and the Dead,01:46:55,106,,32000000,Action ; Western ;,en,TriStar Pictures,02/09/95,18552460,107,-1
Billy Madison,01:29:50,89,,10000000,Comedy ;,en,Jack Giarraputo Productions ;,02/10/95,26488734,89,0
The Brady Bunch Movie,01:24:49,84,,0,Comedy ;,en,Paramount Pictures ;,02/16/95,0,84,0
Just Cause,01:41:57,101,,0,Action ;Drama ;Mystery ;Thriller ;,en,Fountainbridge Films ;Warner Bros ;Lee Rich Productions ;,02/17/95,0,102,-1
Outbreak,02:08:12,128,,50000000,Action ;Drama ;Science ;Fiction ;Thriller ;,en,Kopelson Entertainment ;Punch Productions ;Warner Bros ;Arnold Kopelson Productions ;,03/10/95,189859560,127,1
Losing Isaiah,01:42:27,102,,17000000,Drama ;,en,Paramount Pictures ;,03/17/95,7603766,106,-4
Dolores Claiborne,02:11:31,131,,0,Crime ;Drama ;Mystery ;,en,Castle Rock Entertainment ;Columbia Pictures Corporation ;,03/24/95,0,132,-1
Tommy Boy,01:32:20,92,,0,Comedy ;,en,Paramount Pictures ;,03/31/95,32648673,97,-5
Village of the Damned,01:37:58,97,,0,Thriller ;Horror ;Science ;Fiction ;,en,Universal Pictures ;,04/28/95,0,99,-2
Cruel Jaws,01:29:41,89,null,0,,en,,05/05/95,0,93,-4
Freaky Friday,01:32:55,92,8/4/03,0,Movie ;Comedy ;Family ;Fantasy ;,en,,05/06/95,0,86,6
A Little Princess,01:37:22,97,,17000000,Drama ;Family ;Fantasy ;,en,Warner Bros ;,05/10/95,0,97,0
Die Hard: With a Vengeance,02:03:13,123,,90000000,Action ;Thriller ;,en,Twentieth Century Fox Film Corporation ;Cinergi Pictures Entertainment ;,05/19/95,366101666,128,-5
Forget Paris,01:41:25,101,,0,Comedy ;Drama ;Romance ;,en,Columbia Pictures ;Castle Rock Entertainment ;,05/19/95,0,101,0
Braveheart,02:49:25,169,,72000000,Action ;Drama ;History ;War ;,en,Icon Entertainment International ;The Ladd Company ;Finance C ;,05/24/95,210000000,177,-8
Johnny Mnemonic,01:27:16,87,null,25000000,Adventure ;Action ;Drama ;Science ;Fiction ;Thriller ;,en,TriStar Pictures ;Alliance Communications Corporation ;,05/26/95,19075720,97,-10
Casper,01:40:08,100,,50000000,Fantasy ;Comedy ;Family ;,en,Universal Pictures ;Amblin Entertainment ;The Harvey Entertainment Company ;,05/26/95,287928194,100,0
Congo,01:43:46,103,,50000000,Action ;Adventure ;Drama ;Mystery ;Science ;Fiction ;Thriller ;,en,Paramount Pictures ;Kennedy ;Marshall Company ;The ;,06/09/95,152022101,109,-6
Pocahontas,01:21:09,81,,55000000,Adventure ;Animation ;Drama ;Family ;,en,Walt Disney Pictures ;Walt Disney Feature Animation ;,06/14/95,346079773,81,0
Batman Forever,02:01:35,121,6/9/95,100000000,Action ;Crime ;Fantasy ;,en,Warner Bros ;Polygram Filmed Entertainment ;,06/16/95,336529144,121,0
Apollo 13,02:19:20,139,,52000000,Drama ;,en,Imagine Entertainment ;Universal Pictures ;,06/30/95,355237933,140,-1
Judge Dredd,01:36:05,96,,90000000,Science ;Fiction ;,en,Hollywood Pictures ;Cinergi Pictures Entertainment ;,06/30/95,113493481,96,0
The Usual Suspects,01:41:48,101,,6000000,Drama ;Crime ;Thriller ;,en,Blue Parrot Productions ;Bad Hat Harry Productions ;,07/19/95,23341568,106,-5
Clueless,01:33:14,93,,12000000,Comedy ;Drama ;Romance ;,en,Paramount Pictures ;,07/19/95,0,97,-4
Waterworld,02:15:10,135,,175000000,Adventure ;Action ;,en,Universal Pictures ;Gordon Company ;Davis Entertainment ;Licht ;Mueller Film Corporation ;,07/28/95,264218220,135,0
The Net,01:54:19,114,,22000000,Crime ;Drama ;Mystery ;Thriller ;Action ;,en,Columbia Pictures ;,07/28/95,110627965,114,0
A Walk in the Clouds,01:37:59,97,,20000000,Drama ;Romance ;,en,Twentieth Century Fox Film Corporation ;Zucker Brothers Productions ;,08/11/95,50012507,103,-6
Desperado,01:42:56,102,,7000000,Thriller ;Action ;Crime ;,en,Columbia Pictures ;Los Hooligans Productions ;,08/25/95,25405445,104,-2
Bird of Prey,01:28:37,88,,0,Crime ;Drama ;,es,,09/12/95,0,105,-17
Mighty Aphrodite,01:31:49,91,,15000000,Comedy ;Romance ;,en,Miramax Films ;Magnolia Pictures ;,09/13/95,6700000,95,-4
Hackers,01:24:41,84,9/15/95,20000000,Action ;Crime ;Thriller ;Drama ;,en,United Artists ;Suftley ;,09/14/95,7563728,107,-23
The Journey of August King,01:32:29,92,,0,Drama ;,en,Miramax Films ;Addis Wechsler Pictures ;,09/14/95,0,91,1
Seven/Se7en,02:01:28,121,,33000000,Crime ; Mystery ; Thriller,en,New Line Cinema; Juno Pix ; Cecchi Gori Pictures ;,09/22/95,327311859,127,-6
Assassins,02:12:45,132,,50000000,Action ;Adventure ;Crime ;Thriller ;,en,Silver Pictures ;Canal ;Warner Bros ;Dino De Laurentiis Company ;Donner ;Shuler ;Donner Productions ;Evansgideon ;Lazar ;,10/06/95,30303072,132,0
The Scarlet Letter,02:06:05,126,,50000000,Drama; History; Romance,en,Hollywood Pictures; Cinergi Pictures Entertainment;,10/13/95,10382407,135,-9
Strange Days,02:19:23,139,,42000000,Crime ;Drama ;Science ;Fiction ;Thriller ;,en,Lightstorm Entertainment ;,10/13/95,7959291,145,-6
Mallrats,01:31:42,91,,6000000,Romance ;Comedy ;,en,Universal Pictures ;Gramercy Pictures ;Alphaville Films ;View Askew Productions ;,10/20/95,2122561,94,-3
Vampire in Brooklyn,01:37:51,97,,14000000,Comedy ;Horror ;Romance ;,en,Paramount Pictures ;,10/26/95,19800000,100,-3
Copycat,02:02:10,122,,0,Drama ;Thriller ;,en,Regency Enterprises ;New Regency Pictures ;,10/27/95,0,124,-2
Toy Story,01:21:04,81,,30000000,Animation ;Comedy ;Family ;,en,Pixar Animation Studios ;,10/30/95,373554033,81,0
Ace Ventura: When Nature Calls,01:34:03,94,,30000000,Crime ;Comedy ;Adventure ;,en,O Entertainment ;Warner Bros ;Morgan Creek Productions ;,11/10/95,212385533,90,4
The Crossing Guard,01:47:33,107,,0,Drama ;Thriller ;,en,Miramax Films ;,11/15/95,0,111,-4
The American President,01:53:43,113,,62000000,Comedy ;Drama ;Romance ;,en,Columbia Pictures ;Castle Rock Entertainment ;,11/17/95,107879496,106,7
Nick of Time,01:25:14,85,,8169363,Crime ;Drama ;Thriller ;,en,Paramount Pictures ;,11/22/95,8175346,90,-5
Casino,02:58:20,178,,52000000,Drama ;Crime ;,en,Universal Pictures ;Entreprises ;Syalis DA ;De Fina ;Cappa ;,11/22/95,116112375,178,0
Jumanji,01:39:39,99,,65000000,Adventure ;Fantasy ;Family ;,en,TriStar Pictures ;Teitler Film ;Interscope Communications ;,12/15/95,262797249,104,-5
Heat,02:49:35,169,,60000000,Action ;Drama ;Thriller ;,en,Regency Enterprise; Forward Pass; Warner Bros. ;,12/15/95,187436818,170,-1
Grumpier Old Men,01:40:58,100,,0,Romance ;Comedy ;,en,Warner Bros ;Lancaster Gate ;,12/22/95,0,101,-1
Sudden Death,01:50:06,110,,35000000,Action ;Adventure ;Thriller ;,en,Universal Pictures ;Imperial Entertainment ;Signature Entertainment ;,12/22/95,64350171,106,4
Dead Man,02:00:50,120,,9000000,Drama ;Fantasy ;Western ;,en,JVC Entertainment ;Pandora Filmproduktion ;Newmarket Capital Group ;Gauge Productions ;,12/23/95,0,121,-1
Twelve Monkeys,02:09:33,129,,29500000,Science ;Fiction ;Thriller ;Mystery ;,en,Universal Pictures ;Atlas Entertainment ;Classico ;,12/29/95,168840000,129,0
Eye for an Eye,01:32:52,92,,20000000,Drama ;Thriller ;,en,Paramount Pictures ;,01/12/96,0,101,-9
Lawnmower Man 2: Beyond Cyberspace,01:24:32,84,,0,Action ;Science ;Fiction ;,en,New Line Cinema ;,01/12/96,2409225,92,-8
Waiting for Guffman,01:23:39,83,,0,Music ;Comedy ;,en,Sony Pictures Classics ;Castle Rock Entertainment ;Pale Morning Dun ;All Night Productions ;,01/31/96,0,84,-1
Beautiful Girls,01:46:22,106,,0,Comedy ;Drama ;Romance ;,en,Miramax Films ;Woods Entertainment ;,02/09/96,0,112,-6
Happy Gilmore,01:31:49,91,,12000000,Comedy ;,en,Universal Pictures ;Brillstein ;Grey Entertainment ;Robert Simonds Productions ;,02/16/96,41205099,92,-1
City Hall,01:51:16,111,,0,Drama ;Thriller ;,en,Columbia Pictures ;Castle Rock Entertainment ;,02/16/96,0,111,0
Hard Eight,01:37:40,97,,3000000,Drama ;Thriller ;,en,Green Parrot ;Trinity Filmed Entertainment ;Rysher Entertainment ;,02/28/96,222559,96,1
Executive Decision,02:12:41,132,,55000000,Action ;Adventure ;Drama ;Thriller ;,en,Silver Pictures ;Warner Bros ;,03/15/96,121969216,133,-1
Faithful,01:31:48,91,,13000000,Comedy ;Crime ;Drama ;,en,New Line Cinema ;Miramax Films ;,04/03/96,9789900,91,0
Primal Fear,02:10:10,130,,30000000,Crime ;Drama ;Mystery ;Thriller ;,en,Paramount Pictures ;,04/03/96,102616183,129,1
The Pallbearer,01:38:02,98,,8000000,Comedy ;Romance ;,en,Miramax Films ;The Chess Club ;,05/03/96,0,97,1
Twister,01:52:57,112,,92000000,Drama ; Action ; Adventure,en,Universal Pictures; Amblin Entertainment ; Warner Bros; Constant c Productions,05/10/96,494471524,113,-1
Mission: Impossible,01:50:11,110,,80000000,Adventure ;Action ;Thriller ;,en,Paramount Pictures ;Cruise ;Wagner Productions ;,05/22/96,457696359,110,0
The Rock,02:16:29,136,,75000000,Action ;Adventure ;Thriller ;,en,Hollywood Pictures ;Don Simpson ;Jerry Bruckheimer Films ;,06/06/96,335062621,136,0
The Cable Guy,01:35:46,95,,47000000,Comedy ;Drama ;Thriller ;,en,Columbia Pictures Corporation ;,06/10/96,102825796,96,-1
The Hunchback of Notre Dame,01:27:02,87,,100000000,Drama ;Animation ; Family,en,Walt Disney Pictures,06/21/96,100138851,91,-4
Eraser,01:54:31,114,,100000000,Action ;Drama ;Mystery ;Thriller ;,en,Kopelson Entertainment ;Warner Bros ;,06/21/96,242295562,115,-1
Independence Day,02:24:45,144,,75000000,Action ;Adventure ;Science ;Fiction ;,en,Twentieth Century Fox Film Corporation ;Centropolis Entertainment ;,06/25/96,816969268,145,-1
Courage Under Fire,01:56:14,116,7/12/96,46000000,Drama ;Thriller ;Mystery ;War ;,en,Twentieth Century Fox Film Corporation ;Davis Entertainment ;,07/04/96,100860818,117,-1
Phenomenon,01:58:20,118,,32000000,Drama ;Fantasy ;Romance ;Science ;Fiction ;,en,Touchstone Pictures ;,07/05/96,152036382,123,-5
The Frighteners,01:49:47,109,,30000000,Horror ;Comedy ;,en,WingNut Films ;Universal Pictures ;,07/18/96,29359216,110,-1
Danger Zone,01:26:31,86,,0,Action ;Drama ;,en,Nu Image Films ;Mondovin BV ;,08/02/96,0,92,-6
Escape from L.A.,01:36:32,96,,50000000,Action ;Adventure ;Science ;Fiction ;Thriller ;,en,Paramount Pictures ;Rysher Entertainment ;,08/09/96,42277365,97,-1
Tin Cup,02:14:40,134,,45000000,Comedy ;Drama ;Romance ;,en,Regency Enterprises ;Warner Bros ;,08/16/96,53854588,135,-1
Kansas City,01:56:01,116,,18000000,Thriller ;Drama ;Music ;Crime ;,en,Fine Line Features ;CiBy  ;Sandcastle  ;Productions ;,08/16/96,0,116,0
Foxfire,01:33:56,93,,0,Action ;Drama ;Thriller ;,en,Rysher Entertainment ;Red Mullet Productions ;Chestnut Hill Productions ;,08/23/96,258263,102,-9
The Spitfire Grill,01:56:41,116,,6000000,Comedy ;Drama ;,en,Castle Rock Entertainment ;,08/23/96,12643776,117,-1
The Crow: City of Angels,01:15:08,75,,13000000,Action ;Fantasy ;Thriller ;,en,Miramax Films ;,08/29/96,17917287,84,-9
Sling Blade,02:14:40,134,,1000000,Drama ;,en,Miramax Films ;,08/30/96,24444121,135,-1
Emma,02:00:43,120,,,Drama ;Comedy ;Romance ;,en,,08/30/96,0,120,0
Curdled,01:29:03,89,,2300000,Comedy ;Crime ;Thriller ;,en,Tinderbox Films ;,09/06/96,49620,88,1
Gang in Blue,01:29:33,89,null,0,Thriller ;Action ;Crime ;Drama ;,en,Robert Lawrence Productions ;Showtime Networks ;,09/08/96,0,97,-8
Fly Away Home,01:42:30,102,,0,Action ;Adventure ;Drama ;Family ;,en,Columbia Pictures ;Sandollar Productions ;,09/13/96,0,107,-5
Maximum Risk,01:35:46,95,,25000000,Action ;Adventure ;Thriller ;,en,Columbia Pictures ;,09/13/96,51702483,100,-5
Children of the Corn IV: The Gathering,01:25:00,85,,0,Horror ;,en,Dimension Films ;,10/08/96,0,85,0
The Chamber,01:52:36,112,,50000000,Crime ;Drama ;,en,Imagine Entertainment ;Universal Pictures ;Davis Entertainment ;,10/11/96,22540359,113,-1
Sleepers,02:26:01,146,,44000000,Crime ;Drama ;Thriller ;,en,Propaganda Films ;Warner Bros ;Baltimore Pictures ;,10/18/96,165615285,147,-1
The Portrait of a Lady,02:24:18,144,,0,Drama ;Romance ;,en,Propaganda Films ;Polygram Filmed Entertainment ;,10/18/96,3692836,144,0
Swingers,01:36:20,96,,200000,Comedy ;Romance ;,en,Miramax Films ;Independent Pictures  ;II ;The Alfred Shay Company Inc ;,10/18/96,4505922,94,2
Night Falls on Manhattan,01:48:56,108,,0,Drama ;Crime ;,en,Paramount Pictures ;Spelling Films ;,10/22/96,0,113,-5
Forest Warrior,01:37:04,97,,0,Action ;Family ;,en,Nu Image Films ;LOT Productions ;,11/05/96,0,93,4
The English Patient,02:31:48,151,,27000000,Drama ;Romance ;War ;,en,Miramax Films ;Tiger Moth Productions ;,11/14/96,231976425,162,-11
Space Jam,01:27:20,87,7/15/97,80000000,Animation ;Comedy ;Drama ;Family ;Fantasy ;,en,Warner Bros ;Family Entertainment ;Northern Lights Entertainment ;Courtside Seats Productions ;,11/15/96,250200000,88,-1
