Title,China Runtime,Converted,China Release Date,Budget,Genres,Original Language,Production Company,Global Release Date,Revenue,Global Runtime,Difference
Gone with the Wind,03:46:09,226,,4000000,Drama ;Romance ;War ;,en,Selznick International Pictures ;Metro ;Goldwyn ;Mayer  ;MGM ;,12/15/39,400176459,238,-12
The Blue Bird,01:34:32,94,,0,Drama ;Fantasy ; Family,en,Twentieth Century Fox Film Corporation ;,01/19/40,0,88,6
Pinocchio,01:23:59,83,,2600000,Animation; Family,it,RKO Radio Pictures; Walt Disney Productions,02/23/40,84300000,88,-5
Rebecca,02:10:41,130,,1288000,Drama ;Mystery ;,en,Selznick International Pictures ;,04/12/40,6000000,130,0
Waterloo Bridge,01:48:13,108,,0,Drama ;Romance ;,en,Metro-Goldwyn-Mayer (MGM),05/17/40,0,108,0
Pride and Prejudice,01:56:26,116,7/26/40,0,Drama ;Romance ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;Loew ;Incorporated ;,07/26/40,0,118,-2
Foreign Correspondent,02:00:25,120,8/16/40,0,Mystery ;Thriller ;War ;,en,United Artists ;Walter Wanger Productions ;,08/16/40,0,120,0
The Great Dictator,02:04:53,124,10/15/40,2000000,Comedy ;,en,United Artists ;Roy Export Company Establishment ;,10/15/40,11000000,125,-1
The Philadelphia Story,01:51:53,111,,0,Comedy ;Romance ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,12/05/40,0,112,-1
Mr. & Mrs. Smith,01:34:02,94,1/31/41,0,Comedy; Romance; ,en,RKO Radio Pictures,01/30/41,0,95,-1
The Devil and Miss Jones,01:28:26,88,,0,Comedy ;,en,Frank Ross ;Norma Krasna Inc ;,04/11/41,0,92,-4
Citizen Kane,01:59:23,119,,839727,Mystery ;Drama ;,en,RKO Radio Pictures ;Mercury Productions ;,04/30/41,23217674,119,0
The Little Foxes,01:56:02,116,,0,Drama ;Romance ;,en,RKO Radio Pictures ;Samuel Goldwyn Company ;The ;,08/20/41,0,115,1
Dumbo,01:01:13,61,7/12/89,812000,Animation ;Family ;,en,RKO Radio Pictures ;Walt Disney Productions ;,10/22/41,1600000,64,-3
How Green Was My Valley,01:59:00,119,,1250000,Drama ;,en,Twentieth Century Fox Film Corporation ;,10/28/41,6000000,118,1
